HEROP_ID,MhMinDis
140US01003010904,19.51394743
140US01003011000,16.18488793
140US01053970100,20.06106997
140US01047956500,2.29347757
140US01055000300,1.76908563
140US01077010300,2.649857191
140US01077010800,3.828393207
140US01003010200,24.18371071
140US01003010500,19.54374729
140US01059973500,23.22085947
140US01059973100,23.14659184
140US01059973300,14.47946956
140US01049961000,5.606725503
140US01049961400,11.49213325
140US01077010100,3.25299657
140US01077010400,1.580322423
140US01077011000,0.586601207
140US01077011102,1.223116826
140US01077011200,7.268266891
140US01015000400,2.539906966
140US01013953300,9.702477171
140US01013952900,2.651281056
140US01015001202,4.543089989
140US01015000500,1.362683979
140US01015001300,2.943380696
140US01015002400,15.48042582
140US01015002300,10.69796751
140US01013953200,7.553477619
140US01009050400,14.38012148
140US01009050200,5.372091111
140US01117030701,9.678256632
140US01117030704,11.98356193
140US01017954600,2.440456095
140US01017953800,19.21478722
140US01101005700,21.36726726
140US01101005800,19.29620869
140US01101006000,7.6940878
140US01101000200,3.726179205
140US01101000600,2.789876982
140US01101001300,2.45165967
140US01101002300,2.577375632
140US01081041200,4.287133724
140US01081041400,0.927437496
140US01101002400,3.36524845
140US01101005606,1.640632441
140US01101000400,2.772514357
140US01101002600,1.17593697
140US01101001500,2.511701658
140US01101002800,1.851479976
140US01101005301,2.114166377
140US01041963600,6.478799658
140US01045020200,9.866311679
140US01045020500,0.800618468
140US01045020802,2.492881531
140US01031010500,11.61625042
140US01031010900,5.187100518
140US01031010100,15.34534317
140US01061050300,1.235375007
140US01061050500,12.74701412
140US01061050600,9.749938474
140US01087231800,1.991410498
140US01087231900,2.354248356
140US01087231500,5.336452236
140US01037961000,7.261147629
140US01067030500,7.193270211
140US01027958900,18.31847217
140US01123962000,8.107442519
140US01021060101,2.99286407
140US01021060500,17.09262155
140US01021060300,8.71970111
140US01109188900,21.31761283
140US01085781200,13.46966877
140US01109189300,19.04290179
140US01051031300,4.337513425
140US01051030500,20.67628745
140US01051030901,7.149830137
140US01051030200,20.72680168
140US01121010400,20.68657168
140US01121011700,2.486701972
140US01121010101,7.883184531
140US01121010302,8.150257619
140US01061050200,7.433595476
140US01113031100,20.72145351
140US01113030300,1.928834175
140US01113030700,2.228906801
140US01097001502,2.457533352
140US01097002200,3.665580816
140US01097002502,1.643719087
140US01097002800,3.179247945
140US01097003100,2.418381812
140US01097003501,5.38654756
140US01097003502,4.337442387
140US01097007000,4.960196265
140US01097007103,9.893174105
140US01097007102,6.819984917
140US01097007300,15.46045348
140US01097002000,3.670209992
140US01097005100,5.07936398
140US01097000401,0.527996974
140US01097000600,1.616547604
140US01097000901,0.699563279
140US01097001001,0.373303018
140US01069041800,8.686160421
140US01093964600,9.923964233
140US01069042100,8.547394158
140US01069041600,1.735453983
140US01005950100,11.65567521
140US01005950600,7.376591591
140US01029959700,12.7568295
140US01109189003,16.79791435
140US01109189002,18.98996078
140US01075030101,2.710622196
140US01069041902,4.158349585
140US01069040206,1.020532307
140US01047956702,3.941525101
140US01047956201,6.534383703
140US01125010104,18.58133177
140US01125010707,8.646148516
140US01003011601,19.39627579
140US01125011901,1.674305678
140US01087231603,4.141245926
140US01125010205,5.135783751
140US01125012001,2.026282267
140US01015001201,3.407892335
140US01131035100,39.1276661
140US01125010704,10.04525125
140US01051030103,11.04328329
