"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"02726",4.71,0.32,0.27,"860US02726"
"02738",5.58,3.95,1,"860US02738"
"02739",3.08,1.27,0.44,"860US02739"
"02740",23.82,2.6,5.34,"860US02740"
"02743",5.09,0,2.15,"860US02743"
"02744",25.55,3.91,5.87,"860US02744"
"02745",8.04,1.41,1.98,"860US02745"
"02746",33.14,3,9.3,"860US02746"
"02747",8.57,1.61,7.64,"860US02747"
"02748",4.88,0,0,"860US02748"
"02760",4.83,4.46,1.51,"860US02760"
"02762",3.43,2.38,0.26,"860US02762"
"02763",6.37,4.27,1.45,"860US02763"
"02764",0.96,0,0,"860US02764"
"02766",2.97,3.96,4.88,"860US02766"
"02767",2.02,3.6,1.31,"860US02767"
"02769",1.6,1.71,0.39,"860US02769"
"02770",0.65,0.62,1.64,"860US02770"
"02771",4.7,2.61,2.02,"860US02771"
"02777",1.17,1.03,0,"860US02777"
"02779",0.68,0,0.95,"860US02779"
"02780",11.04,1.77,1.56,"860US02780"
"02790",3.95,0.3,0.18,"860US02790"
"02791",0,17.78,0,"860US02791"
"02802",4.48,0,0,"860US02802"
"02804",1.55,0,0,"860US02804"
"02806",2.47,2.92,0.99,"860US02806"
"02807",2.56,1.64,9.15,"860US02807"
"02808",0,0,0,"860US02808"
"02809",6.28,1.77,8.26,"860US02809"
"02812",0,0,0,"860US02812"
"02813",2.81,0.77,0.62,"860US02813"
"02814",2.86,1.67,0,"860US02814"
"02815",0,0,0,"860US02815"
"02816",3.55,0.55,0.84,"860US02816"
"02817",0,0.33,0.54,"860US02817"
"02818",7.54,1.81,1.3,"860US02818"
"02822",1.23,0.34,0,"860US02822"
"02825",3.04,0.71,1.19,"860US02825"
"02826",9.96,0,8.89,"860US02826"
"02827",0,0,2.3,"860US02827"
"02828",12.66,0.4,0.54,"860US02828"
"02830",5.11,1.43,0.85,"860US02830"
"02831",5.52,1.32,1.08,"860US02831"
"02832",2.39,0,0,"860US02832"
"02833",6.99,0,0,"860US02833"
"02835",2.79,4.31,1.89,"860US02835"
"02836",0,0,0,"860US02836"
"02837",2.73,0.45,1.25,"860US02837"
"02838",8.73,0.68,2.97,"860US02838"
"02839",7.72,0,2.5,"860US02839"
"02840",13.74,2.23,11.75,"860US02840"
"02841",NA,0,34.63,"860US02841"
"02842",5.4,0.78,4.12,"860US02842"
"02852",5.63,1.29,1.01,"860US02852"
"02857",4.35,0.7,1.19,"860US02857"
"02858",0,0,0,"860US02858"
"02859",3.84,0.19,2.22,"860US02859"
"02860",17.11,3.74,3.03,"860US02860"
"02861",8.26,2.84,1.62,"860US02861"
"02863",25.6,5.61,6.14,"860US02863"
"02864",7.12,2.31,0.48,"860US02864"
"02865",4.88,2.1,0.5,"860US02865"
"02871",3.5,2.07,2.24,"860US02871"
"02872",27.63,10.98,0,"860US02872"
"02873",0,0,0,"860US02873"
"02874",0.77,1.55,0,"860US02874"
"02875",0,0,0,"860US02875"
"02876",0,0,0,"860US02876"
"02878",3.96,0.1,0.22,"860US02878"
"02879",5.51,1.74,2.04,"860US02879"
"02881",5.95,1.04,28.09,"860US02881"
"02882",3.06,0.55,2.22,"860US02882"
"02885",11.39,2.89,3.42,"860US02885"
"02886",6.99,1.16,0.82,"860US02886"
"02888",5,1.25,0.77,"860US02888"
"02889",4.29,1.01,0.72,"860US02889"
"02891",7.64,1.39,2.4,"860US02891"
"02892",0.68,0,2.53,"860US02892"
"02893",9.57,1.99,1.33,"860US02893"
"02894",12.23,0,0,"860US02894"
"02895",18.84,1.28,4.11,"860US02895"
"02896",5.15,0.22,0.45,"860US02896"
"02898",5.71,0,1.29,"860US02898"
"02903",38.77,7.03,30.1,"860US02903"
"02904",16.12,2.68,2.85,"860US02904"
"02905",14.95,7.37,4.29,"860US02905"
"02906",11.32,8.06,20.61,"860US02906"
"02907",17.46,7.2,4.24,"860US02907"
"02908",13.26,5.41,6.13,"860US02908"
"02909",21.33,5.48,3.71,"860US02909"
"02910",4.5,2.91,1.16,"860US02910"
"02911",10.53,2.89,2.28,"860US02911"
"02912",NA,1.38,56.5,"860US02912"
"02914",13.65,4.42,2.15,"860US02914"
"02915",8.85,1.09,1.14,"860US02915"
"02916",6.48,1.27,0.19,"860US02916"
"02917",5.92,0.3,9.67,"860US02917"
"02919",5.39,0.58,1.25,"860US02919"
"02920",9.99,2.92,1.65,"860US02920"
"02921",1.5,1.21,0.9,"860US02921"
"03031",2.08,0.4,1.18,"860US03031"
"03032",0,0,0,"860US03032"
"03033",2.57,0.29,0,"860US03033"
"03034",0.46,0.83,0,"860US03034"
"03036",1.78,0.41,0,"860US03036"
"03037",4.55,0,0.77,"860US03037"
"03038",3.73,0.94,0.74,"860US03038"
"03042",0.62,0.5,2.87,"860US03042"
"03043",1.06,0,0.31,"860US03043"
"03044",1.11,0,0.78,"860US03044"
