"HEROP_ID","GEOID","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"050US12113","12113",31,17,86.11,47.22,17.42,34.83
"050US12115","12115",122,78,100,63.93,12.55,25.09
"050US12117","12117",88,71,98.88,79.78,11.38,22.77
"050US12119","12119",20,0,71.43,0,24.62,49.23
"050US12121","12121",9,2,81.82,18.18,21.21,42.41
"050US12123","12123",0,0,0,0,59.01,118.02
"050US12125","12125",2,0,50,0,28.25,56.5
"050US12127","12127",124,59,96.12,45.74,16.49,32.98
"050US12129","12129",5,0,62.5,0,29.25,58.49
"050US12131","12131",0,0,0,0,45.76,91.52
"050US12133","12133",0,0,0,0,50.16,100.31
"050US13001","13001",0,0,0,0,47.67,95.34
"050US13003","13003",1,0,33.33,0,34.82,69.63
"050US13005","13005",0,0,0,0,39.79,79.59
"050US13007","13007",0,0,0,0,40.77,81.54
"050US13009","13009",14,12,100,85.71,8.55,17.1
"050US13011","13011",4,1,100,25,16.9,33.8
"050US13013","13013",18,18,100,100,8.15,16.3
"050US13015","13015",28,17,100,60.71,11.71,23.43
"050US13017","13017",0,0,0,0,39.08,78.16
"050US13019","13019",4,0,66.67,0,29.94,59.89
"050US13021","13021",48,47,100,97.92,6.51,13.02
"050US13023","13023",2,0,50,0,30.54,61.08
"050US13025","13025",1,0,20,0,31.94,63.87
"050US13027","13027",4,1,66.67,16.67,26.52,53.03
"050US13029","13029",5,0,55.56,0,30.29,60.58
"050US13031","13031",20,13,100,65,12.26,24.52
"050US13033","13033",3,0,42.86,0,34.79,69.59
"050US13035","13035",5,5,100,100,7.07,14.14
"050US13037","13037",0,0,0,0,43.02,86.04
"050US13039","13039",13,9,81.25,56.25,14.9,29.79
"050US13043","13043",1,0,33.33,0,31.07,62.13
"050US13045","13045",28,14,100,50,15.51,31.01
"050US13047","13047",15,15,100,100,6.06,12.13
"050US13049","13049",1,0,33.33,0,35.55,71.09
"050US13051","13051",86,66,98.85,75.86,9.73,19.45
"050US13053","13053",5,1,100,20,21,42
"050US13055","13055",0,0,0,0,38.34,76.68
"050US13057","13057",56,51,100,91.07,9.66,19.33
"050US13059","13059",34,33,100,97.06,6.79,13.58
"050US13061","13061",0,0,0,0,64.88,129.76
"050US13063","13063",70,69,100,98.57,8.61,17.22
"050US13065","13065",0,0,0,0,48.44,96.88
"050US13067","13067",186,178,100,95.7,9.09,18.17
"050US13069","13069",0,0,0,0,50.64,101.28
"050US13071","13071",2,0,13.33,0,36.99,73.98
"050US13073","13073",24,19,96,76,11.04,22.09
"050US13075","13075",4,0,80,0,25.8,51.61
"050US13077","13077",25,18,92.59,66.67,12.75,25.51
"050US13079","13079",1,0,33.33,0,36.8,73.6
"050US13081","13081",2,0,33.33,0,35.3,70.6
"050US13083","13083",5,2,100,40,14.49,28.99
"050US13085","13085",5,0,71.43,0,24.47,48.94
"050US13087","13087",8,5,100,62.5,11.39,22.78
"050US13089","13089",203,187,100,92.12,8.63,17.25
"050US13091","13091",7,5,100,71.43,12.78,25.56
"050US13093","13093",1,0,33.33,0,35.48,70.96
"050US13095","13095",29,24,100,82.76,11.59,23.18
"050US13097","13097",31,27,100,87.1,9.8,19.59
"050US13099","13099",0,0,0,0,48.14,96.27
"050US13101","13101",1,0,50,0,34.69,69.37
"050US13103","13103",9,0,56.25,0,30.3,60.59
"050US13105","13105",0,0,0,0,44,87.99
"050US13107","13107",1,0,11.11,0,41.3,82.6
"050US13109","13109",0,0,0,0,36.58,73.17
"050US13111","13111",1,0,20,0,29.91,59.82
"050US13113","13113",24,15,100,62.5,11.84,23.69
"050US13115","13115",26,14,100,53.85,14.51,29.03
"050US13117","13117",48,43,100,89.58,10.77,21.55
"050US13119","13119",6,0,75,0,25.72,51.45
"050US13121","13121",326,300,99.69,91.74,10.23,20.47
"050US13123","13123",8,3,100,37.5,13.68,27.36
"050US13125","13125",0,0,0,0,51.09,102.18
"050US13127","13127",24,17,96,68,15.38,30.76
"050US13129","13129",15,11,100,73.33,11.89,23.77
"050US13131","13131",2,0,25,0,32.1,64.21
"050US13133","13133",1,0,12.5,0,43.88,87.75
"050US13135","13135",220,198,100,90,9.67,19.35
"050US13137","13137",10,1,90.91,9.09,21.56,43.12
"050US13139","13139",50,35,100,70,12.55,25.09
"050US13141","13141",1,0,50,0,28.19,56.38
"050US13143","13143",6,0,75,0,26.77,53.53
"050US13145","13145",6,1,85.71,14.29,22.38,44.76
"050US13147","13147",0,0,0,0,38.05,76.1
"050US13149","13149",1,0,33.33,0,33.14,66.29
"050US13151","13151",59,51,100,86.44,9.18,18.36
"050US13153","13153",36,34,94.74,89.47,9.93,19.87
"050US13155","13155",2,0,66.67,0,28.48,56.96
"050US13157","13157",17,10,100,58.82,13.44,26.88
"050US13159","13159",4,1,80,20,25.07,50.14
"050US13161","13161",0,0,0,0,54.47,108.94
"050US13163","13163",0,0,0,0,45.91,91.83
"050US13165","13165",0,0,0,0,39.24,78.49
"050US13167","13167",0,0,0,0,59.3,118.61
"050US13169","13169",9,3,100,33.33,18.3,36.6
"050US13171","13171",4,0,100,0,20.98,41.95
"050US13173","13173",1,0,33.33,0,29.04,58.07
"050US13175","13175",11,7,78.57,50,18.24,36.48
"050US13177","13177",8,4,100,50,15.42,30.85
"050US13179","13179",0,0,0,0,45.61,91.23
"050US13181","13181",1,0,50,0,38.78,77.56
"050US13183","13183",0,0,0,0,54.77,109.54
"050US13185","13185",29,22,100,75.86,9.73,19.45
"050US13187","13187",3,0,37.5,0,32.4,64.79
"050US13189","13189",2,0,33.33,0,31.9,63.8
"050US13191","13191",2,0,28.57,0,33.77,67.53
"050US13193","13193",2,0,50,0,31.5,63
"050US13195","13195",6,2,85.71,28.57,20.41,40.82
"050US13197","13197",0,0,0,0,39.97,79.95
"050US13199","13199",3,0,42.86,0,30.32,60.65
"050US13201","13201",0,0,0,0,32.8,65.59
"050US13205","13205",1,0,14.29,0,38.59,77.19
"050US13207","13207",5,0,100,0,20.75,41.5
"050US13209","13209",2,0,66.67,0,24.61,49.23
"050US13211","13211",2,0,33.33,0,34.04,68.08
"050US13213","13213",9,7,90,70,13.43,26.87
"050US13215","13215",58,57,98.31,96.61,6.64,13.28
"050US13217","13217",22,10,100,45.45,16.04,32.08
"050US13219","13219",11,6,100,54.55,14.62,29.24
"050US13221","13221",3,0,50,0,28.61,57.22
"050US13223","13223",33,27,100,81.82,10.74,21.47
"050US13225","13225",4,3,50,37.5,30.98,61.95
"050US13227","13227",7,0,77.78,0,23.48,46.97
"050US13229","13229",6,2,100,33.33,18.57,37.14
"050US13231","13231",2,2,40,40,35.59,71.19
"050US13233","13233",5,1,62.5,12.5,24.64,49.28
"050US13235","13235",3,0,75,0,22.69,45.38
"050US13237","13237",5,0,62.5,0,28.3,56.6
"050US13239","13239",0,0,0,0,65.79,131.58
"050US13241","13241",3,0,37.5,0,35.84,71.68
"050US13243","13243",0,0,0,0,44.47,88.93
"050US13245","13245",55,45,98.21,80.36,12.48,24.96
"050US13247","13247",24,23,100,95.83,8.61,17.21
"050US13249","13249",2,0,100,0,23.08,46.16
"050US13251","13251",1,0,16.67,0,36.36,72.72
"050US13253","13253",2,0,66.67,0,28.68,57.37
"050US13255","13255",17,15,100,88.24,9.79,19.58
"050US13257","13257",8,7,100,87.5,11.56,23.12
"050US13259","13259",0,0,0,0,42.82,85.64
"050US13261","13261",8,7,100,87.5,9.87,19.74
"050US13263","13263",1,0,33.33,0,37.13,74.27
"050US13265","13265",0,0,0,0,52.79,105.58
"050US13267","13267",1,0,14.29,0,38.14,76.27
