"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US13009","13009",14,12,100,85.71,8.55,17.1
"050US13011","13011",4,1,100,25,16.9,33.8
"050US13013","13013",18,18,100,100,8.15,16.3
"050US13015","13015",28,17,100,60.71,11.71,23.43
"050US13017","13017",0,0,0,0,39.08,78.16
"050US13019","13019",4,0,66.67,0,29.94,59.89
"050US13021","13021",48,47,100,97.92,6.51,13.02
"050US13023","13023",2,0,50,0,30.54,61.08
"050US13025","13025",1,0,20,0,32.39,64.78
"050US13027","13027",4,1,66.67,16.67,26.52,53.03
"050US13029","13029",5,0,55.56,0,30.29,60.58
"050US13031","13031",20,13,100,65,12.26,24.52
"050US13033","13033",0,0,0,0,69.86,139.72
"050US13035","13035",5,0,100,0,23.38,46.76
"050US13037","13037",0,0,0,0,67.99,135.98
"050US13039","13039",13,9,81.25,56.25,14.9,29.79
"050US13043","13043",1,0,33.33,0,31.07,62.13
"050US13045","13045",28,14,100,50,15.34,30.69
"050US13047","13047",15,15,100,100,6.06,12.13
"050US13049","13049",1,0,33.33,0,35.55,71.09
"050US13051","13051",86,66,98.85,75.86,9.73,19.45
"050US13053","13053",5,1,100,20,21,42
"050US13055","13055",0,0,0,0,38.34,76.68
"050US13057","13057",53,31,94.64,55.36,16.02,32.05
"050US13059","13059",34,33,100,97.06,6.79,13.58
"050US13061","13061",0,0,0,0,76.31,152.62
"050US13063","13063",70,67,100,95.71,8.92,17.84
"050US13065","13065",0,0,0,0,54.09,108.19
"050US13067","13067",186,173,100,93.01,9.3,18.61
"050US13069","13069",0,0,0,0,56.99,113.98
"050US13071","13071",2,0,13.33,0,37.41,74.83
"050US13073","13073",24,19,96,76,11.04,22.09
"050US13075","13075",4,0,80,0,25.8,51.61
"050US13077","13077",25,18,92.59,66.67,12.9,25.8
"050US13079","13079",1,0,33.33,0,40.11,80.21
"050US13081","13081",1,0,16.67,0,38.88,77.75
"050US13083","13083",5,2,100,40,14.49,28.99
"050US13085","13085",2,0,28.57,0,38.72,77.45
"050US13087","13087",8,5,100,62.5,11.39,22.78
"050US13089","13089",203,186,100,91.63,9.59,19.19
"050US13091","13091",7,5,100,71.43,12.78,25.56
"050US13093","13093",0,0,0,0,48.05,96.1
"050US13095","13095",0,0,0,0,52.72,105.44
"050US13097","13097",31,6,100,19.35,19.02,38.03
"050US13099","13099",0,0,0,0,48.14,96.27
"050US13101","13101",1,0,50,0,34.69,69.37
"050US13103","13103",9,0,56.25,0,30.3,60.59
"050US13105","13105",0,0,0,0,44,87.99
"050US13107","13107",1,0,11.11,0,41.3,82.6
"050US13109","13109",0,0,0,0,36.58,73.17
"050US13111","13111",0,0,0,0,38.02,76.04
"050US13113","13113",24,3,100,12.5,19.44,38.88
"050US13115","13115",26,14,100,53.85,14.51,29.03
"050US13117","13117",46,5,95.83,10.42,21.49,42.98
"050US13119","13119",6,0,75,0,25.72,51.45
"050US13121","13121",326,285,99.69,87.16,11.21,22.43
"050US13123","13123",1,0,12.5,0,37.94,75.89
"050US13125","13125",0,0,0,0,NA,NA
"050US13127","13127",24,17,96,68,15.38,30.76
"050US13129","13129",15,11,100,73.33,11.89,23.77
"050US13131","13131",2,0,25,0,32.1,64.21
"050US13133","13133",1,0,12.5,0,43.88,87.75
"050US13135","13135",220,191,100,86.82,10.66,21.32
"050US13137","13137",10,1,90.91,9.09,21.56,43.12
"050US13139","13139",50,35,100,70,12.55,25.09
"050US13141","13141",1,0,50,0,28.19,56.38
"050US13143","13143",5,0,62.5,0,28.07,56.14
"050US13145","13145",6,1,85.71,14.29,22.38,44.76
