GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
1566,2.403038505,4.806077011,50.89568157,1.751893367
1568,8.626088719,17.25217744,109.9046029,4.33664804
1569,3.977964168,7.955928335,124.4169918,1.731025608
1570,2.075688064,4.151376128,54.76160588,0.868760266
1571,3.768960906,7.537921812,45.02487979,1.493682188
1581,3.061501729,6.123003458,128.3301158,1.439677732
1583,1.859049127,3.718098254,82.59017433,1.143332163
1585,9.376892304,18.75378461,17.95589744,4.116982874
1586,0,0,105,0.123222185
1588,2.388703995,4.77740799,101.3303591,1.169239135
1590,7.816220762,15.63244152,86.07628415,4.114697166
1602,2.225262907,4.450525814,83.03579352,1.166977437
1603,1.052977929,2.105955858,86.89417091,0.520859282
1604,0.976313018,1.952626036,103.8575148,0.491727727
1605,1.82876869,3.657537381,98.00155242,0.587290562
1606,1.516670485,3.033340969,87.78604893,0.815541675
1607,1.25877223,2.517544461,102.928648,0.671495359
1608,0.362924872,0.725849745,105.1363968,0.127657958
1609,1.798192393,3.596384785,95.52483424,0.7641345
1610,0.84396085,1.6879217,101.4029083,0.410233834
1611,3.968529414,7.937058828,75.15032679,2.270304354
1612,7.497478266,14.99495653,65.02666667,4.242474992
1613,0,0,106,0.04871266
1653,,,,
1655,,,,
1701,2.727741207,5.455482414,202.240774,1.014338499
1702,1.452886131,2.905772261,209.3740437,0.699059452
1703,0,0,234,0.465624977
1704,0,0,209,0.657740749
1718,7.42,14.84,154,1.289728365
1719,5.71,11.42,154,2.396056239
1720,2.301413121,4.602826241,165.2080804,0.947875772
1721,3.190226277,6.380452554,141.5037712,1.355395026
1730,2.998331244,5.996662488,252.5605395,1.150959097
1731,5.963815967,11.92763193,254.067659,3.347538561
1740,7.784717352,15.5694347,142.8576998,3.781018951
1741,6.289611845,12.57922369,190.0104042,3.99782587
1742,1.60058741,3.20117482,210.0161801,1.178978175
1745,0,0,200,0.680050349
1746,3.975581889,7.951163778,110.0273473,1.544788943
1747,3.211383672,6.422767343,95.94734694,0.874728099
1748,4.749842632,9.499685263,118.7485926,1.698823809
1749,1.76195219,3.523904381,131.4487994,1.059853512
1752,0.74593816,1.491876321,139.5093364,0.734222821
1754,1.713659414,3.427318828,150.3898982,0.693906224
1756,8.971074202,17.9421484,90.17349827,2.890883921
1757,2.436932789,4.873865578,105.8123283,0.998334022
1760,3.078740748,6.157481496,219.4455809,1.230708038
1770,0,0,140,0.859747443
1772,0.021037531,0.042075062,184.809945,1.159963688
1773,5.879703896,11.75940779,254.237887,3.302692823
1775,6.02822396,12.05644792,128.5135437,2.999481549
1776,3.606562893,7.213125786,145.3881295,1.572210394
1778,1.019637054,2.039274108,222.5515036,0.991581083
1784,,,,
1801,0.867796644,1.735593287,296.6795486,0.590247158
1803,2.376098988,4.752197976,287.0782996,0.836599393
1805,,,,
1810,1.708242617,3.416485234,229.8376247,1.228849137
1812,,,,
1821,3.782770171,7.565540341,233.4584352,1.460983395
1822,4.89,9.78,226,1.525612711
1824,1.494465471,2.988930942,172.2095964,1.197924345
1826,0.94692624,1.89385248,132.3433,0.807230059
1827,6.734462812,13.46892562,88.00743801,3.693244963
1830,1.826792791,3.653585581,115.6802993,0.927708573
1831,0,0,126,0.328491984
1832,1.15687111,2.313742219,125.7989243,0.830243677
1833,2.672048429,5.344096858,116.3470637,1.075154824
1834,5.71,11.42,109,1.493290749
1835,1.100021504,2.200043008,126.5148211,0.880715651
1840,0.242978399,0.485956799,190.9905972,0.410284216
1841,1.324863001,2.649726001,187.4883369,0.444482276
1842,0,0,191,0.498607467
1843,1.258674267,2.517348534,219.6994249,0.752220693
1844,2.294126634,4.588253269,183.5909225,0.942750711
1845,2.053895972,4.107791944,188.8318342,1.095381107
1850,0.408857096,0.817714191,156.2784082,0.453490531
1851,0.894076203,1.788152405,177.3105638,0.382947801
1852,1.238234998,2.476469996,188.5888771,0.519352662
1853,1.33,2.66,175,0.373388274
1854,0.700265978,1.400531956,152.6114662,0.449968885
1860,6.101968965,12.20393793,94.76931035,3.84015962
1862,2.187177954,4.374355908,200.2600708,0.967918992
1863,0.22612505,0.4522501,141.5179211,0.731588739
1864,4.193987085,8.387974171,245.7786454,1.57205795
