GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
45053,17.74,25.12,39.63,6.69,2.71,77.87,75.21,70.48,11.18,106.9,109.37,77.96,13.4,14.32,43.02,10658,46.03,11406,0.49,122,0.71,176,0.05,13,8.27,2050,1.42,352,9.74,2414
45055,16.61,17.39,35.79,11.82,6.65,78.4,75.46,71.88,14.26,110.0,90.73,75.27,12.86,14.15,71.26,43965,24.62,15188,0.32,197,0.49,302,0.05,29,1.69,1040,1.58,976,2.32,1430
45057,15.02,22.24,35.67,10.11,5.29,79.29,76.74,73.24,15.31,105.92,94.8,77.91,12.47,13.21,71.55,54844,23.85,18278,0.31,235,0.64,494,0.02,17,2.37,1815,1.26,969,2.72,2082
45059,15.26,25.27,35.08,10.08,4.41,79.61,76.81,72.01,15.01,105.64,90.92,74.13,12.86,13.59,70.41,46848,25.45,16933,0.23,153,0.28,183,0.05,34,2.3,1532,1.28,854,2.41,1604
45061,12.14,32.31,38.98,5.41,3.13,80.47,77.82,73.29,13.51,104.8,108.72,70.34,12.24,12.83,33.4,6419,64.3,12359,0.27,51,0.31,59,0.02,3,0.84,162,0.87,167,1.19,229
45063,17.7,11.88,29.57,18.16,9.48,78.4,75.55,71.79,12.24,104.19,92.93,77.66,13.2,13.75,79.28,208023,14.3,37522,0.43,1134,1.42,3729,0.05,130,2.66,6984,1.86,4869,3.58,9389
45065,15.78,21.91,32.36,9.99,6.03,87.4,85.52,83.1,23.93,103.6,121.26,96.55,7.87,8.15,48.71,4985,49.67,5083,0.1,10,0.33,34,0.06,6,0.22,23,0.9,92,0.66,68
45067,11.16,21.27,44.13,8.97,3.92,78.6,75.59,71.59,14.68,100.94,79.26,64.75,13.49,13.61,40.63,13434,55.88,18476,0.44,144,0.53,176,0.01,2,1.26,417,1.25,413,1.48,489
45069,13.49,32.46,39.48,6.13,2.5,81.01,78.15,74.64,13.06,104.53,113.77,72.32,11.81,12.35,41.43,11987,50.91,14729,4.52,1308,0.26,75,0.01,4,1.06,306,1.81,524,2.35,679
45071,12.83,24.87,31.98,12.01,7.27,79.69,77.22,72.22,15.89,103.64,92.61,73.53,12.81,13.28,62.12,23301,31.0,11626,0.35,130,0.33,122,0.09,35,4.95,1858,1.16,436,4.3,1612
45073,15.78,18.8,32.68,12.58,8.84,81.42,78.85,74.9,18.99,108.31,95.3,84.85,11.44,12.39,87.75,65177,7.56,5613,0.24,176,0.59,436,0.01,10,2.27,1686,1.58,1175,2.7,2009
45075,13.48,22.81,37.29,9.72,6.99,79.6,76.82,70.6,14.85,101.7,84.32,71.46,13.47,13.7,34.35,31770,62.2,57535,0.53,491,0.81,752,0.02,14,0.91,843,1.18,1096,1.26,1168
45077,15.51,18.57,30.79,13.75,9.8,82.06,79.63,70.12,13.41,106.09,98.41,78.23,12.83,13.61,88.7,105747,6.59,7854,0.19,230,1.6,1913,0.01,14,1.42,1690,1.49,1776,2.04,2438
45079,16.94,11.61,22.79,22.13,14.37,79.94,77.23,69.95,9.76,104.69,92.58,70.08,13.42,14.05,47.33,181974,45.91,176538,0.32,1230,2.22,8548,0.11,425,1.91,7358,2.19,8431,3.41,13129
45081,12.73,24.9,39.23,9.35,3.21,79.67,76.95,72.86,16.08,111.26,98.26,78.29,12.24,13.62,61.09,12141,26.31,5230,0.42,83,0.19,38,0.32,63,10.27,2042,1.4,278,9.69,1926
45083,16.21,20.09,31.33,13.0,6.92,78.44,75.57,70.87,13.45,103.68,90.8,72.75,13.54,14.04,72.34,205680,20.6,58565,0.27,764,2.02,5746,0.03,86,3.06,8714,1.67,4752,3.56,10123
45085,18.01,18.25,33.39,11.19,6.2,77.34,74.47,69.75,12.96,102.42,89.99,70.29,14.16,14.5,48.23,51825,46.92,50414,0.36,389,1.11,1188,0.09,99,1.41,1511,1.89,2030,2.12,2279
45087,16.54,24.4,35.09,9.2,3.71,80.11,77.21,73.55,16.47,106.65,86.23,69.05,12.25,13.06,66.59,19286,31.3,9066,0.23,67,0.27,79,0.04,11,0.32,92,1.24,360,0.58,169
45089,12.87,21.74,45.71,6.16,5.11,79.53,76.41,72.48,14.64,104.39,92.13,67.63,12.84,13.41,31.78,10939,65.76,22637,0.33,114,0.4,138,0.01,3,0.96,330,0.76,262,1.69,581
45091,17.26,14.1,28.74,18.32,8.62,77.28,74.46,70.23,11.34,102.74,89.75,76.17,14.01,14.39,74.82,169158,19.02,43003,0.86,1934,1.51,3413,0.06,126,1.88,4258,1.85,4181,2.78,6293
46003,13.69,14.69,44.66,9.57,2.64,76.72,73.25,71.37,19.89,116.15,100.1,77.3,13.03,15.13,95.09,2577,0.41,11,1.48,40,0.66,18,0.0,0,1.85,50,0.52,14,2.25,61
46005,18.03,17.71,34.18,14.79,4.87,78.74,75.75,72.48,17.28,106.91,99.92,72.86,12.82,13.7,89.66,15599,0.84,147,1.09,189,3.63,632,0.1,17,3.04,529,1.64,285,4.73,823
46007,16.21,26.87,27.9,11.84,3.91,69.48,65.35,60.62,11.19,103.76,94.11,82.86,18.62,19.32,33.72,1157,0.12,4,61.47,2109,0.38,13,0.09,3,0.2,7,4.02,138,1.11,38
46009,17.21,12.28,41.61,11.7,3.68,82.94,80.27,77.75,19.05,109.42,151.33,79.6,10.21,11.17,89.8,6349,0.96,68,7.1,502,0.14,10,0.0,0,0.64,45,1.36,96,1.3,92
46011,12.81,8.01,29.7,24.45,13.24,82.94,81.11,66.91,9.92,99.34,105.88,78.99,13.82,13.73,93.23,29802,0.79,254,0.88,282,2.72,869,0.03,9,0.92,295,1.42,454,1.33,425
46013,17.59,10.18,33.81,18.92,5.21,79.32,76.81,72.23,16.08,100.53,92.84,71.93,13.02,13.09,93.23,34057,0.53,194,3.02,1105,0.97,355,0.11,42,0.41,148,1.72,630,0.8,291
46015,15.07,12.27,34.19,19.73,5.43,77.87,74.16,71.34,17.39,95.59,93.98,74.43,14.23,13.61,88.41,4646,0.23,12,8.47,445,0.17,9,0.02,1,0.27,14,2.44,128,0.72,38
46017,19.74,23.5,38.73,4.51,3.76,64.7,60.77,54.86,7.17,97.39,94.64,75.64,22.07,21.5,14.8,283,0.21,4,84.05,1607,0.05,1,0.0,0,0.0,0,0.89,17,0.73,14
46019,17.83,12.54,36.97,15.32,3.92,77.93,75.0,71.56,15.74,110.2,99.03,87.62,13.09,14.42,94.22,9526,0.22,22,1.87,189,0.22,22,0.08,8,0.81,82,2.58,261,1.99,201
