HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US40027,0.87,0.13,0.0,,0.17
050US40057,0.0,0.0,1.0,,1.0
050US40067,0.0,0.0,1.0,,1.0
050US40075,0.0,0.0,1.0,,0.62
050US40095,0.0,0.0,1.0,,0.72
050US40125,0.0,0.75,0.25,,0.51
050US40135,0.0,0.67,0.33,,0.67
050US40143,0.97,0.03,0.0,,0.05
050US27011,0.0,0.0,1.0,,1.0
050US27013,0.69,0.31,0.0,,0.27
050US27031,0.0,0.0,1.0,,1.0
050US27061,0.0,0.0,1.0,,0.79
050US27073,0.0,0.0,1.0,,1.0
050US27075,0.0,0.0,1.0,,0.67
050US27089,0.0,0.0,1.0,,1.0
050US27097,0.0,0.0,1.0,,0.73
050US27127,0.0,0.0,1.0,,0.69
050US27161,0.0,0.2,0.8,,0.5
050US27171,0.18,0.59,0.24,,0.33
050US28001,0.0,0.89,0.11,,0.37
050US28011,0.0,0.5,0.5,,0.54
050US28029,0.0,0.33,0.67,,0.66
050US28043,0.0,0.6,0.4,,0.52
050US28083,0.0,0.75,0.25,,0.18
050US28087,0.0,0.5,0.5,,0.43
050US28103,0.0,0.0,1.0,,0.74
050US28121,0.74,0.26,0.0,,0.34
050US35015,0.0,0.83,0.17,,0.21
050US35039,0.0,0.67,0.33,,0.5
050US35045,0.39,0.33,0.27,,0.34
050US35055,0.0,0.5,0.5,,0.58
050US36025,0.0,0.0,1.0,,0.78
050US36031,0.0,0.0,1.0,,0.75
050US36103,0.96,0.02,0.02,,0.03
050US36105,0.0,0.08,0.92,,0.74
050US36119,0.98,0.01,0.01,,0.03
050US36123,0.0,0.2,0.8,,0.71
050US37009,0.0,0.0,1.0,,0.85
050US37013,0.0,0.45,0.55,,0.66
050US37017,0.0,0.17,0.83,,0.91
050US37023,0.67,0.33,0.0,,0.43
050US37037,0.23,0.15,0.62,,0.66
050US37043,0.0,0.0,1.0,,1.0
050US37053,0.0,0.5,0.5,,0.98
050US37057,0.65,0.32,0.03,,0.47
050US37065,0.29,0.5,0.21,,0.45
050US37075,0.0,0.0,1.0,,1.0
050US37085,0.22,0.63,0.15,,0.56
050US37089,0.74,0.22,0.04,,0.33
050US37095,0.0,0.0,1.0,,1.0
