HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US08113,9.17,14.95,42.0
050US09001,13.35,8.07,55.52
050US09007,12.67,5.91,45.14
050US09011,13.91,7.87,51.89
050US10005,9.67,6.49,61.03
050US12033,15.44,13.88,102.21
050US12037,9.71,15.1,106.67
050US12041,16.97,14.3,116.5
050US12047,13.11,17.83,46.0
050US12053,10.25,18.6,272.56
050US12071,10.25,26.44,328.09
050US19009,10.7,9.53,22.67
050US19027,11.8,7.07,30.0
050US19075,10.72,6.15,25.25
050US19113,13.39,5.58,41.67
050US19147,11.91,9.7,25.75
050US19195,12.48,8.9,33.67
050US20069,13.24,5.1,14.0
050US20143,12.11,7.55,29.5
050US20181,12.49,9.9,40.5
050US21005,11.82,8.8,69.0
050US21025,12.72,15.77,14.14
050US21029,12.69,9.35,96.45
050US21033,10.63,12.87,56.0
050US21043,13.33,12.91,40.0
050US21049,11.53,9.95,66.0
050US21063,11.11,26.35,31.0
050US21071,11.9,14.63,38.1
050US21085,12.33,13.1,46.71
050US21097,12.64,15.12,63.6
050US21109,11.54,14.67,56.33
050US21119,14.08,25.42,45.0
050US21125,12.39,11.45,56.0
050US21135,11.22,13.2,38.5
050US21139,10.27,10.1,54.5
050US21153,11.66,16.82,25.5
050US21159,12.62,18.97,33.67
050US21167,11.74,13.44,70.6
050US21181,12.51,14.4,47.0
050US21183,11.43,12.64,38.14
050US21193,11.25,13.16,21.44
050US21197,12.1,17.5,120.5
050US21205,26.58,9.32,41.75
050US54109,10.93,13.85,44.5
050US55023,11.71,12.42,36.33
050US55037,8.02,8.45,24.0
050US55051,7.7,7.78,25.25
050US55069,11.23,10.9,43.1
050US55075,10.69,10.21,54.54
050US55111,11.44,8.39,66.36
050US41007,11.53,3.62,20.36
050US41017,10.51,9.19,179.52
050US41019,10.34,6.53,38.45
050US41065,11.22,5.75,21.5
050US42003,12.33,8.1,34.7
050US42027,27.08,3.88,21.76
050US42033,11.0,11.07,56.53
050US42041,13.36,4.94,38.21
050US42045,14.08,7.58,42.22
050US42051,11.15,11.64,56.47
050US42061,12.89,9.17,38.0
050US42071,13.2,5.17,35.98
050US42089,15.34,14.49,223.96
050US42095,13.79,8.15,58.9
050US51063,10.39,5.55,39.0
050US51087,11.87,6.18,58.47
050US53077,14.6,7.12,47.15
050US45027,12.97,15.24,38.2
050US45047,13.92,10.05,80.1
050US01043,11.89,10.66,57.82
050US45029,11.44,15.34,75.5
050US45071,13.5,11.8,65.57
050US46067,11.03,6.37,11.0
050US01033,11.56,9.95,62.5
050US02050,16.31,8.43,23.33
050US04007,9.98,9.11,41.47
050US05039,11.87,15.93,40.67
050US06039,14.29,20.04,263.26
050US08043,9.38,10.84,65.38
050US12013,12.27,14.37,49.67
050US12069,10.22,15.5,206.17
050US12129,10.5,9.47,111.25
050US13219,13.3,5.12,42.67
050US16035,9.95,8.95,35.0
050US16069,12.66,5.16,25.5
050US17153,11.17,16.05,37.5
050US18071,11.82,12.82,74.33
050US19087,13.39,9.68,50.4
050US21003,11.68,15.33,53.0
050US21051,11.11,16.52,39.33
050US21165,9.85,15.1,60.0
050US46085,13.98,10.8,7.5
050US47057,11.62,12.55,77.75
050US02195,15.36,,
050US06009,9.67,10.59,182.86
050US08097,10.29,3.97,30.0
050US13007,12.76,18.65,21.5
050US21055,11.19,11.68,22.75
050US22017,12.65,10.8,49.88
050US22115,17.96,10.06,32.67
050US26137,12.09,10.4,60.17
050US29019,23.11,4.91,36.83
050US30005,13.5,5.05,7.0
050US37029,10.85,7.2,122.0
050US40089,12.48,12.65,37.38
050US41023,8.74,6.55,20.5
050US46117,8.27,2.8,8.0
050US47091,10.16,10.62,29.4
050US39047,11.85,23.23,128.14
050US39061,13.22,12.04,64.33
050US39095,13.23,17.19,90.31
050US45055,11.56,9.03,63.64
050US45059,13.29,10.63,69.5
050US45069,12.17,16.79,64.57
050US45073,11.23,8.4,53.0
050US45083,13.43,10.62,71.0
050US45089,12.29,19.24,44.8
050US46009,12.01,5.85,13.5
050US06043,9.16,9.85,72.0
050US06095,12.98,17.84,210.86
050US08035,12.3,7.19,125.69
050US10003,13.44,7.38,53.48
050US12079,11.48,15.24,35.0
050US12113,12.28,11.48,152.32
050US13001,12.64,14.5,37.0
050US13079,11.27,15.0,73.0
050US13135,13.99,11.84,239.65
050US13311,13.19,9.63,153.33
050US47107,11.91,13.84,100.88
050US47117,12.15,10.35,58.33
050US47123,11.8,14.28,100.5
050US47143,13.08,12.78,81.2
050US47151,12.21,16.38,58.8
050US47155,11.83,8.65,129.64
050US47157,13.9,15.75,109.78
050US47165,11.99,7.77,92.76
050US47167,13.21,12.22,82.5
050US47185,11.2,12.55,56.67
050US47189,11.69,6.69,68.82
050US48001,11.41,9.68,28.6
050US48005,13.19,9.65,49.77
050US48029,14.8,9.27,61.49
050US48037,12.53,8.45,43.71
050US48043,10.43,6.9,8.0
050US48051,12.39,12.16,27.0
050US48057,12.88,7.24,26.0
050US48067,11.12,10.83,39.0
050US48091,11.77,5.74,69.27
050US48109,8.88,17.9,13.5
050US48119,12.94,9.6,25.5
050US48173,20.28,8.3,4.0
050US48187,13.7,7.02,46.05
050US48205,7.06,5.1,30.0
050US48215,16.46,14.42,77.01
050US48225,11.1,11.21,23.86
050US48263,9.75,9.2,5.0
050US48273,24.6,9.12,46.4
050US48287,13.92,9.18,25.0
050US48301,2.94,0.0,0.0
050US48311,6.5,13.7,5.0
050US48315,9.77,10.77,26.0
050US48339,12.9,8.19,96.57
050US48343,11.08,12.6,56.67
050US48349,12.97,9.15,38.1
050US48373,11.29,11.09,47.86
050US48377,12.73,12.95,12.0
050US48383,13.17,12.8,35.0
050US48405,10.33,11.97,16.0
050US48407,10.51,10.62,48.5
050US46041,15.09,8.09,2.38
050US46071,15.73,6.7,1.33
050US46075,6.67,6.3,4.0
050US46079,14.29,3.33,16.0
