HEROP_ID,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs
050US04001,0.48,0.32,0.02,0.34,0.51,0.25,0.68,0.36,0.02
050US04003,0.43,0.56,0.07,0.37,0.43,0.49,0.47,0.57,0.04
050US04005,0.5,0.6,0.03,0.23,0.61,0.2,0.36,0.65,0.04
050US04007,0.48,0.78,0.01,0.58,0.52,0.38,0.49,0.59,0.02
050US04009,0.51,0.49,0.04,0.23,0.53,0.38,0.3,0.56,0.01
050US04011,0.41,0.39,0.03,0.22,0.44,0.49,0.45,0.4,0.01
050US04012,0.92,0.29,0.05,0.57,0.38,0.39,0.42,0.66,0.01
050US04013,0.49,0.43,0.1,0.5,0.38,0.49,0.38,0.59,0.09
050US04015,0.53,0.76,0.03,0.21,0.75,0.2,0.44,0.78,0.03
050US04017,0.56,0.45,0.02,0.33,0.57,0.21,0.59,0.34,0.02
050US04019,0.44,0.48,0.07,0.45,0.38,0.52,0.35,0.57,0.05
050US04021,0.46,0.5,0.09,0.35,0.48,0.39,0.39,0.58,0.04
050US04023,0.94,0.03,0.01,0.5,0.1,0.89,0.78,0.06,0.04
050US04025,0.36,0.81,0.01,0.27,0.76,0.19,0.38,0.83,0.02
050US04027,0.53,0.35,0.05,0.48,0.22,0.74,0.42,0.4,0.03
050US05001,0.45,0.52,0.45,0.37,0.71,0.07,0.0,0.0,0.0
050US05003,0.24,0.64,0.3,0.38,0.63,0.08,0.72,0.84,0.01
050US05005,0.45,0.95,0.0,0.47,0.92,0.06,0.5,0.94,0.01
050US05007,0.39,0.69,0.03,0.43,0.61,0.29,0.45,0.68,0.11
050US05009,0.51,0.93,0.01,0.31,0.93,0.03,0.36,0.94,0.01
050US05011,0.12,0.55,0.3,0.19,0.53,0.18,0.0,0.0,0.0
050US05013,0.08,0.72,0.22,0.08,0.73,0.04,0.0,0.0,0.0
050US05015,0.41,0.89,0.01,0.37,0.73,0.21,0.31,0.78,0.02
050US05017,0.48,0.26,0.69,0.08,0.56,0.08,0.67,0.24,0.01
050US05019,0.31,0.63,0.3,0.2,0.68,0.05,0.42,0.64,0.01
050US05021,0.57,0.94,0.02,0.28,0.94,0.03,0.0,0.0,0.0
